Date,Temperature,Humidity,Rainfall,Wind_Speed,Pressure
2025-01-01,12,65,5,10,1015
2025-01-02,15,60,2,12,1012
2025-01-03,18,55,0,14,1010
2025-01-04,22,50,0,18,1008
2025-01-05,25,45,1,20,1005
2025-01-06,28,40,0,22,1003
2025-01-07,30,35,0,25,1000
2025-01-08,27,45,3,19,1004
2025-01-09,24,55,8,15,1009
2025-01-10,20,70,15,12,1013
2025-01-11,17,75,20,10,1016
2025-01-12,14,80,25,8,1018
2025-01-13,16,72,12,11,1015
2025-01-14,21,60,5,16,1010
2025-01-15,26,50,0,21,1006
2025-01-16,29,42,0,23,1002
2025-01-17,31,38,0,26,999
2025-01-18,28,48,2,20,1005
2025-01-19,23,58,6,15,1011
2025-01-20,19,68,10,13,1014
